url,label
https://www.google.com,0
https://www.microsoft.com,0
https://www.apple.com,0
https://www.amazon.com,0
https://www.wikipedia.org,0
https://github.com,0
https://www.python.org,0
https://www.nasa.gov,0
https://www.linkedin.com,0
https://www.youtube.com,0
http://192.168.1.20/login,1
http://secure-login-example.tk/verify,1
http://account-security.xyz/update-password,1
http://verify-user.top/login/account,1
http://paypal-secure-login.click/verify,1
http://bank-account-security.ml/login,1
http://free-prize-claim.xyz/winner,1
http://urgent-account-verify.tk/security,1
http://wallet-confirmation.top/verify,1
http://xn--paypa1-secure-123.xyz/login,1
